station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name
"CABO SAN ANTONIO, PINAR DEL RIO",0-20000-0-78310,78310,Land (fixed),21.86666667,84.95,0,0,Cuba
PINAR DEL RIO,0-20000-0-78315,78315,Land (fixed),22.41666667,83.68333333,0,0,Cuba
"BAHIA HONDA, PINAR DEL RIO",0-20000-0-78318,78318,Land (fixed),22.91666667,83.16666667,0,0,Cuba
"BATABANO, LA HABANA",0-20000-0-78322,78322,Land (fixed),22.71666667,82.28333333,0,0,Cuba
"PUNTA DEL ESTE, ISLA DE LA JUVENTUD",0-20000-0-78324,78324,Land (fixed),21.55,82.53333333,0,0,Cuba
"CASA BLANCA, LA HABANA",0-20000-0-78325,78325,Land (fixed),23.16666667,82.35,0,0,Cuba
VARADERO,0-20000-0-78328,78328,Land (fixed),23.25,81.41666667,0,0,Cuba
"PLAYA GIRON, MATANZAS",0-20000-0-78333,78333,Land (fixed),22.06666667,81.03333333,0,0,Cuba
"CANTARRANA, CIENFUEGOS",0-20000-0-78344,78344,Land (fixed),21.91666667,80.16666667,0,0,Cuba
"JUCARO, CIEGO DE AVILA",0-20000-0-78345,78345,Land (fixed),21.61666667,78.85,0,0,Cuba
"CAIBARIEN, VILLA CLARA",0-20000-0-78348,78348,Land (fixed),22.51666667,79.45,0,0,Cuba
"SANCTI SPIRITUS, SANCTI SPIRITUS",0-20000-0-78349,78349,Land (fixed),21.93333333,79.45,0,0,Cuba
"SANTA CRUZ DEL SUR, CAMAGUEY",0-20000-0-78351,78351,Land (fixed),20.71666667,78,0,0,Cuba
"NUEVITAS, CAMAGUEY",0-20000-0-78353,78353,Land (fixed),21.53333333,77.25,0,0,Cuba
CAMAGUEY,0-20000-0-78355,78355,Land (fixed),21.4,77.85,0,0,Cuba
"PUERTO PADRE, LAS TUNAS",0-20000-0-78358,78358,Land (fixed),21.2,76.61666667,0,0,Cuba
"CABO CRUZ, GRANMA",0-20000-0-78360,78360,Land (fixed),19.85,77.23333333,0,0,Cuba
"CONTRAMAESTRE, SANTIAGO DE CUBA",0-20000-0-78363,78363,Land (fixed),20.28333333,76.25,0,0,Cuba
"PUNTA LUCRECIA, HOLGUIN",0-20000-0-78365,78365,Land (fixed),21.06666667,75.61666667,0,0,Cuba
"PUNTA DE MAISI, GUANTANAMO",0-20000-0-78369,78369,Land (fixed),20.25,74.15,0,0,Cuba
X,0-20000-0-78308,78308,Land (fixed),0,0,0,0,Cuba
X,0-20000-0-78309,78309,Land (fixed),0,0,0,0,Cuba
"SANTA LUCIA, PINAR DEL RIO",0-20000-0-78312,78312,Land (fixed),22.66666667,83.96666667,0,0,Cuba
"ISABEL RUBIO, PINAR DEL RIO",0-20000-0-78313,78313,Land (fixed),22.16666667,84.1,0,0,Cuba
"SAN JUAN Y MARTINEZ, PINAR DEL RIO",0-20000-0-78314,78314,Land (fixed),22.28333333,83.83333333,0,0,Cuba
"LA PALMA, PINAR DEL RIO",0-20000-0-78316,78316,Land (fixed),22.76666667,83.55,0,0,Cuba
"PASO REAL DE SAN DIEGO, PINAR DEL RIO",0-20000-0-78317,78317,Land (fixed),22.55,83.3,0,0,Cuba
"ARTEMISA, LA HABANA",0-20000-0-78319,78319,Land (fixed),22.8,82.75,0,0,Cuba
