station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region
BONIFATI (16337-0),0-20000-0-16337,16337,Land (fixed),39.58472222,15.89138889,484,,Italy,6
DECIMOMANNU,0-20000-0-16546,16546,Land (fixed),39.34611111,8.9675,29,,Italy,6
CAMPOBASSO,0-20000-0-16252,16252,Land (fixed),41.56361111,14.655,793,,Italy,6
GRAZZANISE,0-20000-0-16253,16253,Land (fixed),41.06055556,14.07888889,9.19,,Italy,6
PRATICA DI MARE,0-20000-0-16245,16245,Land (fixed),41.65555556,12.44805556,12.3,,Italy,6
ILLIZI,0-20000-0-60640,60640,Land (fixed),26.71916,8.61722,542,,Algeria,1
SKIKDA,0-20000-0-60355,60355,Land (fixed),36.88178,6.93503,2,,Algeria,1
PIAN ROSA,0-20000-0-16052,16052,Land (fixed),45.935,7.706111111,3480,,Italy,6
PRIZZI,0-20000-0-16434,16434,Land (fixed),37.72277778,13.42805556,1034,,Italy,6
DOBBIACO,0-20000-0-16033,16033,Land (fixed),46.73,12.22,1222,,Italy,6
CATANIA SIGONELLA,0-20000-0-16459,16459,Land (fixed),37.40555556,14.91861111,24,,Italy,6
BALAKA,0-454-2-AWSBALAKA,AWSBALAKA,Land (fixed),-14.983333,34.966666,618,,Malawi,1
MECHERIA,0-20000-0-60549,60549,Land (fixed),33.54581,-0.23527,1123.2,,Algeria,1
TERMOLI,0-20000-0-16232,16232,Land (fixed),42.00416667,14.99638889,16,,Italy,6
VIGNA DI VALLE,0-20000-0-16224,16224,Land (fixed),42.08027778,12.21138889,260,,Italy,6
HASSI-MESSAOUD,0-20000-0-60581,60581,Land (fixed),31.65861,6.14138,140,,Algeria,1
DJELFA,0-20000-0-60535,60535,Land (fixed),34.65361,3.28138,1180,,Algeria,1
PAGANELLA,0-20000-0-16022,16022,Land (fixed),46.15972222,11.03416667,2125,,Italy,6
MONTE S. ANGELO,0-20000-0-16258,16258,Land (fixed),41.70833333,15.94777778,838,,Italy,6
MALOMO,0-454-2-AWSMALOMO,AWSMALOMO,Land (fixed),-13.14202,33.83727,1088,,Malawi,1
TREVICO,0-20000-0-16263,16263,Land (fixed),41.04666667,15.23277778,1085,,Italy,6
EL-OUED,0-20000-0-60559,60559,Land (fixed),33.50618,6.78841,63,,Algeria,1
TIMIMOUN,0-20000-0-60607,60607,Land (fixed),29.24412,0.28385,312,,Algeria,1
CONCORDIA,0-20000-0-89625,89625,Land (fixed),-75.10166667,123.4119444,3233,,Italy,7
TOUGGOURT,0-20000-0-60555,60555,Land (fixed),33.07011,6.09208,87,,Algeria,1
MONTE SCURO,0-20000-0-16344,16344,Land (fixed),39.33055556,16.39638889,1669,,Italy,6
BATNA,0-20000-0-60468,60468,Land (fixed),35.76083,6.31972,821,,Algeria,1
ENNA,0-20000-0-16450,16450,Land (fixed),37.56805556,14.27972222,1000,,Italy,6
NAMITAMBO,0-454-2-AWSNAMITAMBO,AWSNAMITAMBO,Land (fixed),-15.84052,35.27428,806,,Malawi,1
